dataset_id,header
bsa-2015,cs10a
bsa-2015,cs10b
bsa-2015,cs10c
bsa-2015,cs10d
bsa-2015,cs11a
bsa-2015,cs11b
bsa-2015,cs11c
bsa-2015,cs11d
bsa-2015,cs2
bsa-2015,cs3a
bsa-2015,cs3b
bsa-2015,cs4
bsa-2015,cs5
bsa-2015,cs6
bsa-2015,cs7
bsa-2015,cs8
bsa-2015,cs9
bsa-2015,datequest
bsa-2015,es1
bsa-2015,es10a
bsa-2015,es10b
bsa-2015,es11a
bsa-2015,es11b
bsa-2015,es11c
bsa-2015,es11d
bsa-2015,es11e
bsa-2015,es11f
bsa-2015,es11g
bsa-2015,es12
bsa-2015,es13a
bsa-2015,es13b
bsa-2015,es13c
bsa-2015,es13d
bsa-2015,es13e
bsa-2015,es13f
bsa-2015,es13g
bsa-2015,es13h
bsa-2015,es13i
bsa-2015,es13j
bsa-2015,es14
bsa-2015,es2
bsa-2015,es3
bsa-2015,es4
bsa-2015,es5a
bsa-2015,es5b
bsa-2015,es6
bsa-2015,es7a
bsa-2015,es7b
bsa-2015,es7c
bsa-2015,es8a
bsa-2015,es8b
bsa-2015,es9a
bsa-2015,es9b
bsa-2015,h1
bsa-2015,h2
bsa-2015,h3
bsa-2015,h4
bsa-2015,h5
bsa-2015,h6
bsa-2015,k.urine
bsa-2015,mpb1
bsa-2015,mpb2
bsa-2015,mpb3
bsa-2015,mpb5
bsa-2015,mpb6
bsa-2015,mpb7
bsa-2015,mpb7b
bsa-2015,mpb8
bsa-2015,na.urine
bsa-2015,pond
bsa-2015,sd1
bsa-2015,sd10
bsa-2015,sd11
bsa-2015,sd12
bsa-2015,sd13a
bsa-2015,sd13b
bsa-2015,sd2a
bsa-2015,sd2b
bsa-2015,sd3
bsa-2015,sd4
bsa-2015,sd7a
bsa-2015,sd7b
bsa-2015,sd8
bsa-2015,sd9
bsa-2015,ss1a
bsa-2015,ss1b
bsa-2015,ss2
bsa-2015,ss3
bsa-2015,ss4a
bsa-2015,ss4b
bsa-2015,ss4c
bsa-2015,ss5
bsa-2015,ss6a
bsa-2015,ss6b
bsa-2015,ss6c
bsa-2015,ss6cc
bsa-2015,ss7a
bsa-2015,ss7b
bsa-2015,ss7bb
bsa-2015,ss7c
bsa-2015,ss7cc
bsa-2015,unite_alb
bsa-2015,unite_creat
bsa-2015,unite_k
bsa-2015,unite_na
bsa-2015,﻿numero
bsj-2019,ad1
bsj-2019,ad2
bsj-2019,ad3
bsj-2019,age
bsj-2019,al1
bsj-2019,al2
bsj-2019,al3
bsj-2019,al4
bsj-2019,al4_autre
bsj-2019,al5a
bsj-2019,al5b
bsj-2019,al5c
bsj-2019,al5d
bsj-2019,al6a
bsj-2019,al6b
bsj-2019,al6c
bsj-2019,al6d
bsj-2019,ao1
bsj-2019,ao10
bsj-2019,ao11
bsj-2019,ao2a
bsj-2019,ao2b
bsj-2019,ao3a
bsj-2019,ao3b
bsj-2019,ao3c
bsj-2019,ao3d
bsj-2019,ao4
bsj-2019,ao5
bsj-2019,ao6
bsj-2019,ao7
bsj-2019,ao8
bsj-2019,ao9
bsj-2019,ap1
bsj-2019,ap2
bsj-2019,ap3
bsj-2019,ap4
bsj-2019,ap4_autre
bsj-2019,ap5
bsj-2019,ap5_autre
bsj-2019,as1
bsj-2019,as2
bsj-2019,as3
bsj-2019,as3_autre
bsj-2019,bd1
bsj-2019,bd2
bsj-2019,bd3
bsj-2019,bd4
bsj-2019,bd5
bsj-2019,cn1
bsj-2019,cn2
bsj-2019,cn3
bsj-2019,cn4
bsj-2019,cn5
bsj-2019,cn6
bsj-2019,cn7
bsj-2019,cs1
bsj-2019,cs2
bsj-2019,cs3
bsj-2019,cs5
bsj-2019,cs5_autre
bsj-2019,cs6
bsj-2019,cv1
bsj-2019,cv2a
bsj-2019,cv2b
bsj-2019,cv3
bsj-2019,cv4a
bsj-2019,cv4b
bsj-2019,cv5
bsj-2019,date_enreg
bsj-2019,es1
bsj-2019,es2
bsj-2019,es3
bsj-2019,es3b
bsj-2019,es4
bsj-2019,es4b
bsj-2019,es5
bsj-2019,es6
bsj-2019,es7
bsj-2019,es7_autre
bsj-2019,es8
bsj-2019,es9
bsj-2019,es9b
bsj-2019,niveau_scolaire
bsj-2019,pond
bsj-2019,pr1a
bsj-2019,pr1b
bsj-2019,pr1c
bsj-2019,pr1d
bsj-2019,pr1e
bsj-2019,pr1f
bsj-2019,pr1g
bsj-2019,pr1h
bsj-2019,pr2a
bsj-2019,pr2b
bsj-2019,pr2c
bsj-2019,pr2d
bsj-2019,pr2e
bsj-2019,pr2f
bsj-2019,pr2g
bsj-2019,pr2h
bsj-2019,province_etab
bsj-2019,sd1
bsj-2019,sd2
bsj-2019,secteur_etab
bsj-2019,sm1
bsj-2019,sm2a
bsj-2019,sm2b
bsj-2019,sm2c
bsj-2019,sm3
bsj-2019,sm4
bsj-2019,sm4_autre
bsj-2019,sm5
bsj-2019,sm6
bsj-2019,sm7
bsj-2019,ss1
bsj-2019,ss10
bsj-2019,ss11
bsj-2019,ss12
bsj-2019,ss2
bsj-2019,ss3
bsj-2019,ss4
bsj-2019,ss5
bsj-2019,ss6
bsj-2019,ss6_autre
bsj-2019,ss7
bsj-2019,ss7_autre
bsj-2019,ss8
bsj-2019,ss9
bsj-2019,tb1
bsj-2019,tb2
bsj-2019,tb3
bsj-2019,tb4
bsj-2019,tb5
bsj-2019,tb6
bsj-2019,tb7
bsj-2019,tb8
bsj-2019,vf1
bsj-2019,vf2
bsj-2019,vf3
bsj-2019,vf4a
bsj-2019,vf4b
bsj-2019,vf4c
bsj-2019,vi1
bsj-2019,vi2
bsj-2019,vi2_autre
bsj-2019,vi3
bsj-2019,vi3_autre
bsj-2019,vi4
bsj-2019,vi4_autre
bsj-2019,vi5
bsj-2019,vi6
bsj-2019,vi6_autre
bsj-2019,vi7
bsj-2019,vi7_autre
bsj-2019,vi8
bsj-2019,vi8_autre
bsj-2019,vs1
bsj-2019,vs2
bsj-2019,vs3
bsj-2019,vs4
bsj-2019,vs5
bsj-2019,vs5_autre
bsj-2019,﻿n°obs
