dataset_id,un_stats_sdg_goal_code
sempex_202004,6
sempex_202004,10
sempex_202005,6
sempex_202005,10
sempex_202006,6
sempex_202006,10
sempex_202007,6
sempex_202007,10
sempex_202008,6
sempex_202008,10
sempex_202009,6
sempex_202009,10
sempex_202010,6
sempex_202010,10
sempex_202011,6
sempex_202011,10
sempex_202012,6
sempex_202012,10
sempex_202101,6
sempex_202101,10
sempex_202102,6
sempex_202102,10
sempex_202103,6
sempex_202103,10
sempex_202104,6
sempex_202104,10
sempex_202105,6
sempex_202105,10
sempex_202106,6
sempex_202106,10
sempex_202108,6
sempex_202108,10
sempex_prix_medicaments_en_vigueur,6
sempex_prix_medicaments_en_vigueur,10
subventions_ville_de_noumea,3
subventions_ville_de_noumea,4
subventions_ville_de_noumea,5
subventions_ville_de_noumea,8
subventions_ville_de_noumea,9
subventions_ville_de_noumea,10
subventions_ville_de_noumea,11
subventions_ville_de_noumea,13
subventions_ville_de_noumea,14
subventions_ville_de_noumea,15
subventions_ville_de_noumea,16
tendance-evolutive-actuelle-des-ilots,13
tendance-evolutive-actuelle-des-ilots,14
tendance-evolutive-actuelle-des-ilots,15
trait-de-cote,11
trait-de-cote,13
trait-de-cote0,11
trait-de-cote0,13
trait-de-cote0,15
transects-tortues-vertes,15
vegetation-des-iles-eloignees,15
vitesse-devolution-des-ilots,13
vitesse-devolution-des-ilots,14
vitesse-devolution-des-ilots,15
vitesse-devolution-du-littoral,13
vitesse-devolution-du-littoral-de-lanse-vata,11
vitesse-devolution-du-littoral-de-lanse-vata,13
zone-de-vigilance,13
zone-de-vigilance,15
zones-cles-de-biodiversite-cotieres,2
zones-cles-de-biodiversite-cotieres,12
zones-cles-de-biodiversite-cotieres,13
zones-cles-de-biodiversite-cotieres,14
zones-cles-de-biodiversite-cotieres,15
zones-cles-de-biodiversite-kba-key-biodiversity-areas,2
zones-cles-de-biodiversite-kba-key-biodiversity-areas,13
zones-cles-de-biodiversite-kba-key-biodiversity-areas,14
zones-cles-de-biodiversite-kba-key-biodiversity-areas,15
zones-cles-de-biodiversite-marines,2
zones-cles-de-biodiversite-marines,12
zones-cles-de-biodiversite-marines,13
zones-cles-de-biodiversite-marines,14
zones-cles-de-biodiversite-marines,15
zones-cles-de-biodiversite-terrestres,13
zones-cles-de-biodiversite-terrestres,15
zones-especes-envahissantes,15
